ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
7688,Australasian Gannet,Morus serrator,Morus serrator,Pelecaniformes,Sulidae,Morus,serrator,2512.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7689,Red-footed Booby,Sula sula,Sula sula,Pelecaniformes,Sulidae,Sula,sula,1086.5999999999999,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7693,Brown Booby,Sula leucogaster,Sula leucogaster,Pelecaniformes,Sulidae,Sula,leucogaster,1378.6750000000002,NA,0,15,100,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7696,Cocos Booby,Sula brewsteri,Sula brewsteri,Pelecaniformes,Sulidae,Sula,brewsteri,1285.4250000000002,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7699,Masked Booby,Sula dactylatra,Sula dactylatra,Pelecaniformes,Sulidae,Sula,dactylatra,1811.8,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7704,Nazca Booby,Sula granti,Sula granti,Pelecaniformes,Sulidae,Sula,granti,1752.5,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7706,Blue-footed Booby,Sula nebouxii,Sula nebouxii,Pelecaniformes,Sulidae,Sula,nebouxii,1590,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7709,Peruvian Booby,Sula variegata,Sula variegata,Pelecaniformes,Sulidae,Sula,variegata,1406.25,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7710,Anhinga,Anhinga anhinga,Anhinga anhinga,Pelecaniformes,Anhingidae,Anhinga,anhinga,1085,NA,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,1,0,0,0
7713,Australasian Darter,Anhinga novaehollandiae,Anhinga novaehollandiae,Pelecaniformes,Anhingidae,Anhinga,novaehollandiae,1612.1666666666667,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,1,0,0,0
7716,Oriental Darter,Anhinga melanogaster,Anhinga melanogaster,Pelecaniformes,Anhingidae,Anhinga,melanogaster,1436.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7718,African Darter,Anhinga rufa,Anhinga rufa,Pelecaniformes,Anhingidae,Anhinga,rufa,1417.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,1,0,0,0
7722,Pygmy Cormorant,Microcarbo pygmaeus,Microcarbo pygmaeus,Suliformes,Phalacrocoracidae,Microcarbo,pygmaeus,693.33333333333337,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7723,Long-tailed Cormorant,Microcarbo africanus,Microcarbo africanus,Pelecaniformes,Phalacrocoracidae,Microcarbo,africanus,557.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,NA,NA,Wetland,1,0,0,0
7726,Crowned Cormorant,Microcarbo coronatus,Microcarbo coronatus,Pelecaniformes,Phalacrocoracidae,Microcarbo,coronatus,768,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,Coastal,0,1,0,0
7728,Little Cormorant,Microcarbo niger,Microcarbo niger,Pelecaniformes,Phalacrocoracidae,Microcarbo,niger,442.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7729,Little Pied Cormorant,Microcarbo melanoleucos,Microcarbo melanoleucos,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,743.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7733,Red-legged Cormorant,Poikilocarbo gaimardi,Poikilocarbo gaimardi,Pelecaniformes,Phalacrocoracidae,Poikilocarbo,gaimardi,1416.6666666666667,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,Coastal,0,0,1,0
7734,Brandt's Cormorant,Urile penicillatus,Urile penicillatus,Pelecaniformes,Phalacrocoracidae,Urile,penicillatus,2280.1666666666665,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,Coastal,1,0,0,0
7735,Red-faced Cormorant,Urile urile,Urile urile,Pelecaniformes,Phalacrocoracidae,Urile,urile,2013,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,NA,Sea,1,0,0,0
7736,Pelagic Cormorant,Urile pelagicus,Urile pelagicus,Pelecaniformes,Phalacrocoracidae,Urile,pelagicus,1767.3333333333333,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7739,Spectacled Cormorant,Urile perspicillatus,Urile perspicillatus,Pelecaniformes,Phalacrocoracidae,Urile,perspicillatus,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,Coastal,NA,NA,NA,NA
7740,Bank Cormorant,Phalacrocorax neglectus,Phalacrocorax neglectus,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,neglectus,1930,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7741,Socotra Cormorant,Phalacrocorax nigrogularis,Phalacrocorax nigrogularis,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,nigrogularis,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7742,Pitt Island Shag,Phalacrocorax featherstoni,Phalacrocorax featherstoni,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,featherstoni,1043.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,NA,NA,NA,NA
7744,Spotted Shag,Phalacrocorax punctatus,Phalacrocorax punctatus,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,punctatus,1211.6666666666667,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7747,Black-faced Cormorant,Phalacrocorax fuscescens,Phalacrocorax fuscescens,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,fuscescens,1515,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,Coastal,1,0,0,0
7748,Great Pied Cormorant,Phalacrocorax varius,Phalacrocorax varius,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,varius,1868.1666666666667,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,Coastal,1,0,0,0
7751,Little Black Cormorant,Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,sulcirostris,971.66666666666663,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7752,Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,fuscicollis,695,NA,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
7753,Cape Cormorant,Phalacrocorax capensis,Phalacrocorax capensis,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,capensis,1223.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,NA,Coastal,1,0,0,0
7754,Japanese Cormorant,Phalacrocorax capillatus,Phalacrocorax capillatus,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,capillatus,2837.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7755,Great Cormorant,Phalacrocorax carbo,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,2874.1666666666665,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,1,2,NA,NA,NA,Coastal,1,0,0,0
7763,European Shag,Gulosus aristotelis,Gulosus aristotelis,Suliformes,Phalacrocoracidae,Gulosus,aristotelis,1777.25,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,NA,Sea,1,0,0,0
7767,Flightless Cormorant,Nannopterum harrisi,Nannopterum harrisi,Pelecaniformes,Phalacrocoracidae,Nannopterum,harrisi,3241.6666666666665,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,0,0,1,0
7768,Neotropical Cormorant,Nannopterum brasilianum,Nannopterum brasilianum,Pelecaniformes,Phalacrocoracidae,Nannopterum,brasilianum,1452.5,NA,0,4000,5000,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,2,1,NA,NA,NA,Wetland,1,0,0,0
7771,Double-crested Cormorant,Nannopterum auritum,Nannopterum auritum,Pelecaniformes,Phalacrocoracidae,Nannopterum,auritum,1936,NA,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,1,2,NA,NA,NA,Coastal,1,0,0,0
7777,Rock Shag,Leucocarbo magellanicus,Leucocarbo magellanicus,Pelecaniformes,Phalacrocoracidae,Leucocarbo,magellanicus,1500,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7778,Guanay Cormorant,Leucocarbo bougainvilliorum,Leucocarbo bougainvilliorum,Pelecaniformes,Phalacrocoracidae,Leucocarbo,bougainvilliorum,2280.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7779,Bounty Islands Shag,Leucocarbo ranfurlyi,Leucocarbo ranfurlyi,Pelecaniformes,Phalacrocoracidae,Leucocarbo,ranfurlyi,2475,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7781,Rough-faced Shag,Leucocarbo carunculatus,Leucocarbo carunculatus,Pelecaniformes,Phalacrocoracidae,Leucocarbo,carunculatus,2577.5,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7783,Chatham Islands Shag,Leucocarbo onslowi,Leucocarbo onslowi,Pelecaniformes,Phalacrocoracidae,Leucocarbo,onslowi,2095,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7785,Stewart Island Shag,Leucocarbo chalconotus,Leucocarbo chalconotus,Pelecaniformes,Phalacrocoracidae,Leucocarbo,chalconotus,2368.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,1,0,0
7789,Auckland Islands Shag,Leucocarbo colensoi,Leucocarbo colensoi,Pelecaniformes,Phalacrocoracidae,Leucocarbo,colensoi,2000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7791,Campbell Island Shag,Leucocarbo campbelli,Leucocarbo campbelli,Pelecaniformes,Phalacrocoracidae,Leucocarbo,campbelli,1820,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7793,Imperial Shag,Leucocarbo atriceps,Leucocarbo atriceps,Pelecaniformes,Phalacrocoracidae,Leucocarbo,atriceps,2294.6666666666665,NA,0,800,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,Sea,1,0,0,0
7797,South Georgia Shag,Leucocarbo georgianus,Leucocarbo georgianus,Pelecaniformes,Phalacrocoracidae,Leucocarbo,georgianus,2678,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7799,Crozet Shag,Leucocarbo melanogenis,Leucocarbo melanogenis,Pelecaniformes,Phalacrocoracidae,Leucocarbo,melanogenis,2166.6666666666665,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7801,Antarctic Shag,Leucocarbo bransfieldensis,Leucocarbo bransfieldensis,Pelecaniformes,Phalacrocoracidae,Leucocarbo,bransfieldensis,2780,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7803,Kerguelen Islands Shag,Leucocarbo verrucosus,Leucocarbo verrucosus,Pelecaniformes,Phalacrocoracidae,Leucocarbo,verrucosus,2500,NA,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7805,Heard Shag,Leucocarbo nivalis,Leucocarbo nivalis,Pelecaniformes,Phalacrocoracidae,Leucocarbo,nivalis,2931,NA,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7807,Macquarie Shag,Leucocarbo purpurascens,Leucocarbo purpurascens,Pelecaniformes,Phalacrocoracidae,Leucocarbo,purpurascens,2788.3333333333335,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7809,African Sacred Ibis,Threskiornis aethiopicus,Threskiornis aethiopicus,Pelecaniformes,Threskiornithidae,Threskiornis,aethiopicus,1522,NA,0,1800,2350,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,4,1,NA,NA,NA,Wetland,1,0,0,0
7811,Malagasy Sacred Ibis,Threskiornis bernieri,Threskiornis bernieri,Pelecaniformes,Threskiornithidae,Threskiornis,bernieri,NA,NA,0,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Coastal,1,0,0,0
7814,Reunion Ibis,Threskiornis solitarius,Threskiornis solitarius,Pelecaniformes,Threskiornithidae,Threskiornis,solitarius,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
7815,Black-headed Ibis,Threskiornis melanocephalus,Threskiornis melanocephalus,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus,NA,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,NA,NA,NA,Wetland,1,0,0,0
7817,Australian Ibis,Threskiornis moluccus,Threskiornis molucca,Pelecaniformes,Threskiornithidae,Threskiornis,moluccus,1895,NA,0,500,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,2,1,NA,NA,NA,Wetland,1,0,0,1
7821,Straw-necked Ibis,Threskiornis spinicollis,Threskiornis spinicollis,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,1340,NA,0,500,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2,5,6,4,NA,NA,NA,Grassland,1,0,0,0
7822,Red-naped Ibis,Pseudibis papillosa,Pseudibis papillosa,Pelecaniformes,Threskiornithidae,Pseudibis,papillosa,823,NA,0,500,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Grassland,1,0,0,0
7824,White-shouldered Ibis,Pseudibis davisoni,Pseudibis davisoni,Pelecaniformes,Threskiornithidae,Pseudibis,davisoni,1588,NA,0,500,NA,6,NA,NA,3,NA,4,NA,NA,NA,2,5,NA,1,NA,NA,NA,Wetland,0,0,1,0
7826,Giant Ibis,Thaumatibis gigantea,Pseudibis gigantea,Pelecaniformes,Threskiornithidae,Thaumatibis,gigantea,3515,NA,L,500,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Wetland,0,0,1,0
7827,Northern Bald Ibis,Geronticus eremita,Geronticus eremita,Pelecaniformes,Threskiornithidae,Geronticus,eremita,1342,NA,0,2270,NA,NA,NA,NA,NA,NA,4,1,2,NA,3,NA,5,NA,NA,NA,NA,Plains,1,0,0,0
7828,Southern Bald Ibis,Geronticus calvus,Geronticus calvus,Pelecaniformes,Threskiornithidae,Geronticus,calvus,NA,NA,1200,1850,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,4,NA,NA,NA,Grassland,1,0,0,0
7829,Asian Crested Ibis,Nipponia nippon,Nipponia nippon,Pelecaniformes,Threskiornithidae,Nipponia,nippon,1900,NA,470,1300,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,NA,NA,NA,Wetland,0,1,1,0
7830,Olive Ibis,Bostrychia olivacea,Bostrychia olivacea,Pelecaniformes,Threskiornithidae,Bostrychia,olivacea,NA,NA,0,3700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,NA,NA,Forest,NA,NA,NA,NA
7835,Dwarf Ibis,Bostrychia bocagei,Bostrychia bocagei,Pelecaniformes,Threskiornithidae,Bostrychia,bocagei,NA,NA,0,450,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
7837,Spot-breasted Ibis,Bostrychia rara,Bostrychia rara,Pelecaniformes,Threskiornithidae,Bostrychia,rara,NA,NA,0,500,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,Riparian,0,0,0,0
7838,Hadada Ibis,Bostrychia hagedash,Bostrychia hagedash,Pelecaniformes,Threskiornithidae,Bostrychia,hagedash,1252.5,NA,0,500,NA,8,NA,7,NA,2,1,NA,NA,NA,3,5,6,4,NA,NA,NA,Grassland,0,1,0,0
7842,Wattled Ibis,Bostrychia carunculata,Bostrychia carunculata,Pelecaniformes,Threskiornithidae,Bostrychia,carunculata,NA,NA,1500,4100,NA,NA,NA,NA,4,NA,NA,NA,2,NA,5,1,NA,3,NA,NA,NA,Riparian,1,0,0,0
7843,Plumbeous Ibis,Theristicus caerulescens,Theristicus caerulescens,Pelecaniformes,Threskiornithidae,Theristicus,caerulescens,1500,NA,0,600,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,NA,NA,3,NA,NA,NA,Grassland,0,0,0,1
7844,Buff-necked Ibis,Theristicus caudatus,Theristicus caudatus,Pelecaniformes,Threskiornithidae,Theristicus,caudatus,1708,NA,0,1000,2000,NA,NA,NA,2,NA,1,NA,NA,NA,4,NA,NA,3,NA,NA,NA,Grassland,1,1,1,0
7847,Black-faced Ibis,Theristicus melanopis,Theristicus melanopis,Pelecaniformes,Threskiornithidae,Theristicus,melanopis,1612.5,NA,0,3000,NA,5,NA,7,NA,NA,1,NA,6,NA,2,4,NA,3,NA,NA,NA,Grassland,1,1,0,0
7849,Andean Ibis,Theristicus branickii,Theristicus branickii,Pelecaniformes,Threskiornithidae,Theristicus,branickii,1492,NA,3700,4500,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,NA,NA,NA,NA
7851,Sharp-tailed Ibis,Cercibis oxycerca,Cercibis oxycerca,Pelecaniformes,Threskiornithidae,Cercibis,oxycerca,NA,NA,0,500,NA,NA,NA,NA,NA,2,5,NA,NA,NA,4,3,NA,1,NA,NA,NA,Wetland,0,0,1,1
7852,Green Ibis,Mesembrinibis cayennensis,Mesembrinibis cayennensis,Pelecaniformes,Threskiornithidae,Mesembrinibis,cayennensis,758.75,NA,0,600,1200,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,3,NA,NA,NA,Forest,0,0,0,0
7853,Bare-faced Ibis,Phimosus infuscatus,Phimosus infuscatus,Pelecaniformes,Threskiornithidae,Phimosus,infuscatus,546.5,NA,0,2600,3600,NA,NA,NA,NA,3,2,NA,NA,NA,5,4,NA,1,NA,NA,NA,Wetland,1,0,1,0
7857,White Ibis,Eudocimus albus,Eudocimus albus,Pelecaniformes,Threskiornithidae,Eudocimus,albus,894.16666666666663,NA,0,150,1500,4,NA,NA,NA,NA,3,NA,NA,NA,5,NA,2,1,NA,NA,NA,Wetland,1,0,0,0
7860,Scarlet Ibis,Eudocimus ruber,Eudocimus ruber,Pelecaniformes,Threskiornithidae,Eudocimus,ruber,778.75,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,NA,NA,NA,Coastal,1,1,0,0
7861,Glossy Ibis,Plegadis falcinellus,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,620.83333333333337,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,NA,NA,NA,Wetland,1,0,0,0
7862,White-faced Ibis,Plegadis chihi,Plegadis chihi,Pelecaniformes,Threskiornithidae,Plegadis,chihi,574.83333333333337,NA,0,2200,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,Wetland,1,0,0,0
7863,Puna Ibis,Plegadis ridgwayi,Plegadis ridgwayi,Pelecaniformes,Threskiornithidae,Plegadis,ridgwayi,593.5,2200,3500,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,1,1,0,0
7864,Madagascar Crested Ibis,Lophotibis cristata,Lophotibis cristata,Pelecaniformes,Threskiornithidae,Lophotibis,cristata,NA,NA,0,1250,2000,2,NA,1,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,Woodland,0,0,0,0
7867,Eurasian Spoonbill,Platalea leucorodia,Platalea leucorodia,Pelecaniformes,Threskiornithidae,Platalea,leucorodia,1605,NA,0,500,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,1,0,0,0
7871,Black-faced Spoonbill,Platalea minor,Platalea minor,Pelecaniformes,Threskiornithidae,Platalea,minor,1228,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,Wetland,1,1,1,0
7872,African Spoonbill,Platalea alba,Platalea alba,Pelecaniformes,Threskiornithidae,Platalea,alba,1460,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,Wetland,1,0,0,0
7873,Royal Spoonbill,Platalea regia,Platalea regia,Pelecaniformes,Threskiornithidae,Platalea,regia,1731.6666666666667,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,Wetland,1,0,0,0
7875,Yellow-billed Spoonbill,Platalea flavipes,Platalea flavipes,Pelecaniformes,Threskiornithidae,Platalea,flavipes,1782,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,0,0,1,0
7876,Roseate Spoonbill,Platalea ajaja,Platalea ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,1475,NA,0,1000,2200,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,Wetland,1,0,0,0
7877,White-crested Tiger-heron,Tigriornis leucolopha,Tigriornis leucolopha,Pelecaniformes,Ardeidae,Tigriornis,leucolopha,NA,NA,0,500,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,NA,NA,NA,Wetland,0,0,0,0
7878,Rufescent Tiger-heron,Tigrisoma lineatum,Tigrisoma lineatum,Pelecaniformes,Ardeidae,Tigrisoma,lineatum,805,NA,0,900,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,0,0,0,1
7881,Bare-throated Tiger-heron,Tigrisoma mexicanum,Tigrisoma mexicanum,Pelecaniformes,Ardeidae,Tigrisoma,mexicanum,974.66666666666663,NA,0,1000,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,Coastal,0,0,1,0
7882,Fasciated Tiger-heron,Tigrisoma fasciatum,Tigrisoma fasciatum,Pelecaniformes,Ardeidae,Tigrisoma,fasciatum,850,180,300,2200,3300,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Riparian,0,0,0,0
7886,Boat-billed Heron,Cochlearius cochlearius,Cochlearius cochlearius,Pelecaniformes,Ardeidae,Cochlearius,cochlearius,644,NA,0,650,3500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,1,1,1
7892,Agami Heron,Agamia agami,Agamia agami,Pelecaniformes,Ardeidae,Agamia,agami,527.5,NA,0,300,2600,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,NA,NA,NA,Wetland,1,0,0,0
7893,Zigzag Heron,Zebrilus undulatus,Zebrilus undulatus,Pelecaniformes,Ardeidae,Zebrilus,undulatus,123,NA,0,500,800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,Forest,0,0,0,1
7894,Eurasian Bittern,Botaurus stellaris,Botaurus stellaris,Pelecaniformes,Ardeidae,Botaurus,stellaris,1264,NA,0,200,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,0,0,0,0
7897,Australasian Bittern,Botaurus poiciloptilus,Botaurus poiciloptilus,Pelecaniformes,Ardeidae,Botaurus,poiciloptilus,1166.5,NA,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,1,0,0,0
7898,American Bittern,Botaurus lentiginosus,Botaurus lentiginosus,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,734.75,NA,0,2500,2700,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Wetland,0,0,0,0
7899,Pinnated Bittern,Botaurus pinnatus,Botaurus pinnatus,Pelecaniformes,Ardeidae,Botaurus,pinnatus,775,NA,0,400,2600,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,1,NA,NA,NA,Wetland,0,0,0,0
