ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
70,Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Nothocercus,nigrocapillus,540,NA,1300,3300,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
73,Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus berlepschi,Tinamiformes,Tinamidae,Crypturellus,berlepschi,521,NA,0,500,900,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
74,Cinereous Tinamou,Crypturellus cinereus,Crypturellus cinereus,Tinamiformes,Tinamidae,Crypturellus,cinereus,502.25,NA,0,900,NA,1,NA,2,4,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
75,Little Tinamou,Crypturellus soui,Crypturellus soui,Tinamiformes,Tinamidae,Crypturellus,soui,247.25,NA,0,1500,NA,1,NA,NA,2,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,1,0
92,Tepui Tinamou,Crypturellus ptaritepui,Crypturellus ptaritepui,Tinamiformes,Tinamidae,Crypturellus,ptaritepui,NA,NA,1350,1800,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
93,Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,Tinamiformes,Tinamidae,Crypturellus,obsoletus,478.83333333333331,NA,200,2800,3300,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
107,Undulated Tinamou,Crypturellus undulatus,Crypturellus undulatus,Tinamiformes,Tinamidae,Crypturellus,undulatus,550.66666666666663,NA,0,900,NA,1,NA,4,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
114,Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus transfasciatus,Tinamiformes,Tinamidae,Crypturellus,transfasciatus,283,NA,0,800,1600,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
115,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus strigulosus,Tinamiformes,Tinamidae,Crypturellus,strigulosus,421,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
116,Grey-legged Tinamou,Crypturellus duidae,Crypturellus duidae,Tinamiformes,Tinamidae,Crypturellus,duidae,429.5,NA,L,500,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
117,Red-legged Tinamou,Crypturellus erythropus,Crypturellus erythropus,Tinamiformes,Tinamidae,Crypturellus,erythropus,485,NA,0,1700,NA,2,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,0,0,0,0
125,Yellow-legged Tinamou,Crypturellus noctivagus,Crypturellus noctivagus,Tinamiformes,Tinamidae,Crypturellus,noctivagus,567.5,NA,0,300,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,Forest,0,0,1,1
