ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,Beak_Width,Beak_Depth,wing_length,Tail_Length,Tarsus.Length,Avonet_Mass,Avonet_HWI,BeakL_Div_Tarsus,Prop_Tail_Length,Prop_Leg_Length,Beak_Stoutness,Beak_CrossSect,HWI,Dimorphism,Colors,Final_Behavior_1,Final_Behavior_2,Final_Behavior_3
30,Northern Cassowary,Casuarius unappendiculatus,Casuarius unappendiculatus,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,46993.25,NA,0,700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,88.1,14.3,23.2,264.5,273.5,303.4,46073.9,0.1,0.2903757415952538,1.0340264650283555,1.1470699432892248,3.797413793103448,1.6223776223776225,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
31,Common Emu,Dromaius novaehollandiae,Dromaius novaehollandiae,Casuariiformes,Casuariidae,Dromaius,novaehollandiae,42500,NA,0,1600,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Savanna,0,0,0,1,81.5,32.2,17.7,124.5,430,382.8,34093.3,0.1,0.21290491118077323,3.453815261044177,3.074698795180723,4.604519774011299,0.5496894409937888,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
34,King Island Emu,Dromaius minor,NA,Casuariiformes,Casuariidae,Dromaius,minor,10003.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,Grassland,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
36,Kangaroo Island Emu,Dromaius baudinianus,NA,Casuariiformes,Casuariidae,Dromaius,baudinianus,17257,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
38,Grey Tinamou,Tinamus tao,Tinamus tao,Tinamiformes,Tinamidae,Tinamus,tao,1674.5,NA,50,1900,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,0,45.5,6.5,6.8,278.7,125.6,79.7,1600.1,17.1,0.5708908406524467,0.4506637961966272,0.28597057768209544,6.6911764705882355,1.0461538461538462,17.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
43,Solitary Tinamou,Tinamus solitarius,Tinamus solitarius,Tinamiformes,Tinamidae,Tinamus,solitarius,1428.5,NA,0,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,37.9,5.8,6,261.5,156.2,73.1,1386.4,13.7,0.518467852257182,0.5973231357552581,0.27954110898661566,6.316666666666666,1.0344827586206895,13.7,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
46,Black Tinamou,Tinamus osgoodi,Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamus,osgoodi,1392.5,NA,600,2100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,45.6,7.1,7.9,232,69.7,70.6,1285,17.4,0.6458923512747876,0.30043103448275865,0.3043103448275862,5.772151898734177,1.1126760563380282,17.4,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
49,Great Tinamou,Tinamus major,Tinamus major,Tinamiformes,Tinamidae,Tinamus,major,1006.75,NA,0,1500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,38.5,5.2,5.9,241,83.2,64.4,1026.2,20.9,0.5978260869565217,0.34522821576763485,0.2672199170124482,6.525423728813559,1.1346153846153846,20.9,0,1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
62,White-throated Tinamou,Tinamus guttatus,Tinamus guttatus,Tinamiformes,Tinamidae,Tinamus,guttatus,688.75,NA,0,500,1100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,33.1,5,5.3,195.4,75.6,57.6,686.2,26.4,0.5746527777777778,0.3868986693961105,0.2947799385875128,6.245283018867925,1.06,26.4,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
63,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,Tinamiformes,Tinamidae,Nothocercus,bonapartei,712.25,500,1500,2500,3075,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,36.5,4.8,5.6,212,60,68.8,763,14.7,0.5305232558139535,0.2830188679245283,0.32452830188679244,6.517857142857143,1.1666666666666667,14.7,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
