"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Bullock's Oriole","Icterus_bullockii","New World blackbirds","Icteridae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale gray"
"Burchell's Glossy-starling","Lamprotornis_australis","Starlings","Sturnidae","Passeriformes","M","blue, dark gray, dark purple, gray, light blue, medium green, medium-dark dark purple, medium-dark green, olive-gray"
"Burnished-buff Tanager","Tangara_cayana","Tanagers","Thraupidae","Passeriformes","F","brownish gray, dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium green, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream"
"Burnished-buff Tanager","Tangara_cayana","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, gray, light blue, medium green, medium yellow-buff, medium-dark green, medium-dark yellow-buff, olive-gray"
"Burnished-buff Tanager","Tangara_cayana","Tanagers","Thraupidae","Passeriformes",NA,"blue, brownish gray, dark gray, gray, medium green, medium yellow-buff, medium-dark green, medium-dark orange-buff, medium-dark yellow-buff, olive-gray, pale cream"
"Bush Thick-knee","Burhinus_grallarius","Thick-knees","Burhinidae","Charadriiformes","F","brownish gray, dark yellow-buff, gray, medium-dark yellow-buff, pale gray"
"Bush wren","Xenicus_longipes","New Zealand wrens","Acanthisittidae","Passeriformes","F","brownish gray, dark olive, dark rufous, dark yellow-buff, gray"
"Bush wren","Xenicus_longipes","New Zealand wrens","Acanthisittidae","Passeriformes","M","brownish gray, dark olive, dark yellow-buff, gray"
"Bushtit","Psaltriparus_minimus","Long-tailed Tits","Aegithalidae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Bushtit","Psaltriparus_minimus","Long-tailed Tits","Aegithalidae","Passeriformes","M","brownish gray, dark gray, gray, medium yellow-buff"
"Cactus Wren","Campylorhynchus_brunneicapillus","Wrens","Troglodytidae","Passeriformes","F","brownish gray, dark gray, gray, medium cream"
"Cactus Wren","Campylorhynchus_brunneicapillus","Wrens","Troglodytidae","Passeriformes","M","brownish gray, dark gray, gray"
"Caica Parrot","Pyrilia_caica","Parrots","Psittacidae","Psittaciformes","F","dark gray, medium green, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, pale green"
"Caica Parrot","Pyrilia_caica","Parrots","Psittacidae","Psittaciformes","M","blue, brownish gray, dark blue, dark gray, gray, medium cream, medium green, medium orange-buff, medium yellow-buff, medium-dark green, medium-dark yellow-buff, pale cream, pale green"
"Calandra Lark","Melanocorypha_calandra","Larks","Alaudidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"California Gull","Larus_californicus","Gulls and terns","Laridae","Charadriiformes","F","gray, pale gray"
"California Quail","Callipepla_californica","New World quails","Odontophoridae","Galliformes","F","black, brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark yellow-buff"
"California Thrasher","Toxostoma_redivivum","Mockingbirds and thrashers","Mimidae","Passeriformes","F","brownish gray, gray, medium yellow-buff, medium-dark yellow-buff"
"California Thrasher","Toxostoma_redivivum","Mockingbirds and thrashers","Mimidae","Passeriformes","M","brownish gray, gray, medium yellow-buff, medium-dark yellow-buff"
"California Thrasher","Toxostoma_redivivum","Mockingbirds and thrashers","Mimidae","Passeriformes",NA,"brownish gray, gray, medium yellow-buff, medium-dark yellow-buff"
"California Towhee","Pipilo_crissalis","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Canada Goose","Branta_canadensis","Ducks, geese and swans","Anatidae","Anseriformes","M","black, brownish gray, dark gray, gray"
"Canada Warbler","Wilsonia_canadensis","New World warblers","Parulidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Canada Warbler","Wilsonia_canadensis","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Canary Flyrobin","Microeca_papuana","Australasian robins","Petroicidae","Passeriformes","F","black, brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, very dark yellow-buff"
"Canary Islands Chiffchaff","Phylloscopus_canariensis","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Canvasback","Aythya_valisineria","Ducks, geese and swans","Anatidae","Anseriformes","F","black, brownish gray, dark gray, dark rufous, gray, medium-dark yellow-buff, pale gray, very dark rufous"
"Canyon Towhee","Pipilo_fuscus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Canyon Wren","Catherpes_mexicanus","Wrens","Troglodytidae","Passeriformes","F","brownish gray, dark rufous, gray, medium-dark rufous, pale gray"
"Canyon Wren","Catherpes_mexicanus","Wrens","Troglodytidae","Passeriformes","M","brownish gray, dark rufous, gray, medium-dark yellow-buff, pale gray"
"Cape Canary","Serinus_canicollis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream"
"Cape Canary","Serinus_canicollis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","very pale cream, very pale orange-buff"
"Cape May Warbler","Dendroica_tigrina","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, very dark yellow-buff"
"Cape May Warbler","Dendroica_tigrina","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Cape Petrel","Daption_capense","Petrels and shearwaters","Procellariidae","Procellariiformes","M","dark gray, gray, pale gray"
"Cape Robin-chat","Cossypha_caffra","Chats and Old World flycatchers","Muscicapidae","Passeriformes","F","black, brownish gray, dark gray, gray, medium-dark yellow-buff"
"Cape Siskin","Serinus_totta","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream, very pale orange-buff"
"Cape Siskin","Serinus_totta","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","very pale cream, very pale orange-buff"
"Cape Verde Warbler","Acrocephalus_brevipennis","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Capped Conebill","Conirostrum_albifrons","Tanagers","Thraupidae","Passeriformes","M","blue, brownish gray, dark blue, dark gray, dark olive, dark yellow-buff, gray, medium-dark olive, medium-dark yellow-buff, olive-gray"
"Capped Seedeater","Sporophila_bouvreuil","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Capped White-eye","Zosterops_fuscicapilla","White-eyes","Zosteropidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Capuchinbird","Perissocephalus_tricolor","Cotingas","Cotingidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff"
"Capuchinbird","Perissocephalus_tricolor","Cotingas","Cotingidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Carbonated Sierra-finch","Phrygilus_carbonarius","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray"
"Cardinal Lory","Chalcopsitta_cardinalis","Parrots","Psittacidae","Psittaciformes","M","brownish gray, dark brown, medium-dark brown, medium-dark rufous"
"Cardinal Myzomela","Myzomela_cardinalis","Honeyeaters","Meliphagidae","Passeriformes","M","brownish gray, dark brown, dark gray, gray, medium-dark brown"
"Carmelite Sunbird","Nectarinia_fuliginosa","Sunbirds","Nectariniidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Carmelite Sunbird","Nectarinia_fuliginosa","Sunbirds","Nectariniidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, medium purple, medium-dark dark purple"
"Carolina Chickadee","Parus_carolinensis","Tits and chickadees","Paridae","Passeriformes","F","black, brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Carolina Wren","Thryothorus_ludovicianus","Wrens","Troglodytidae","Passeriformes","F","brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Carrion Crow","Corvus_corone","Crows and jays","Corvidae","Passeriformes","F","dark gray, gray"
"Caspian Tern","Sterna_caspia","Gulls and terns","Laridae","Charadriiformes","M","dark gray, gray, pale gray"
"Cassin's Auklet","Ptychoramphus_aleuticus","Auks","Alcidae","Charadriiformes",NA,"gray"
"Cassin's Finch","Carpodacus_cassinii","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark brown, gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Cassin's Kingbird","Tyrannus_vociferans","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Cassin's Sparrow","Aimophila_cassinii","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, gray, medium-dark yellow-buff"
"Cattle Egret","Bubulcus_ibis","Herons and egrets","Ardeidae","Pelecaniformes","F","gray, medium orange-buff, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale gray, pale orange-buff"
"Cattle Egret","Bubulcus_ibis","Herons and egrets","Ardeidae","Pelecaniformes","M","gray, medium orange-buff, pale gray"
"Cattle Egret","Bubulcus_ibis","Herons and egrets","Ardeidae","Pelecaniformes",NA,"gray, medium orange-buff, pale gray, pale orange-buff"
"Cave Swallow","Petrochelidon_fulva","Swallows and martins","Hirundinidae","Passeriformes","F","blue, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, very dark rufous"
"Cave Swallow","Petrochelidon_fulva","Swallows and martins","Hirundinidae","Passeriformes","M","blue, brownish gray, dark gray, dark rufous, gray, medium-dark orange-buff, medium-dark rufous"
"Cayenne Jay","Cyanocorax_cayanus","Crows and jays","Corvidae","Passeriformes","F","dark gray, dark purple, gray"
"Cayenne Jay","Cyanocorax_cayanus","Crows and jays","Corvidae","Passeriformes","M","brownish gray, dark gray, gray, pale cream"
"Cayenne Jay","Cyanocorax_cayanus","Crows and jays","Corvidae","Passeriformes",NA,"black, brownish gray, dark gray, dark purple, gray"
"Cedar Waxwing","Bombycilla_cedrorum","Waxwings","Bombycillidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, very dark rufous"
"Cerulean Warbler","Dendroica_cerulea","New World warblers","Parulidae","Passeriformes","F","black, blue, brownish gray, dark blue, dark gray, gray, medium cream, medium green, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale cream, pale gray"
"Cerulean Warbler","Dendroica_cerulea","New World warblers","Parulidae","Passeriformes","M","black, blue, dark gray, gray, light blue, olive-gray, pale gray"
"Cerulean-capped Manakin","Lepidothrix_coeruleocapilla","Manakins","Pipridae","Passeriformes","F","black, dark gray, dark olive, gray, light blue, medium cream, medium yellow-buff, medium-dark olive, medium-dark yellow-buff, olive-gray"
"Cerulean-capped Manakin","Lepidothrix_coeruleocapilla","Manakins","Pipridae","Passeriformes","M","black, dark gray, light blue"
"Channel-billed Toucan","Ramphastos_vitellinus","Toucans and barbets","Ramphastidae","Piciformes","F","black, dark brown, dark gray, gray, medium orange-buff, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark yellow-buff, pale gray"
"Channel-billed Toucan","Ramphastos_vitellinus","Toucans and barbets","Ramphastidae","Piciformes","M","black, dark brown, dark gray, gray, medium yellow-buff, medium-dark yellow-buff, pale gray"
"Channel-billed Toucan","Ramphastos_vitellinus","Toucans and barbets","Ramphastidae","Piciformes",NA,"dark brown, dark gray, medium yellow-buff, pale gray"
"Chapman's Swift","Chaetura_chapmani","Swifts","Apodidae","Apodiformes",NA,"brownish gray, dark gray, gray"
"Chatham Gerygone","Gerygone_albofrontata","Thornbills and gerygones","Acanthizidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium cream, medium-dark rufous, pale cream, pale gray"
"Chatham Snipe","Coenocorypha_pusilla","Sandpipers and allies","Scolopacidae","Charadriiformes","M","dark rufous, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Cherrie's Tanager","Ramphocelus_costaricensis","Tanagers","Thraupidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium-dark brown, medium-dark rufous, medium-dark yellow-buff"
"Chestnut Seedeater","Sporophila_cinnamomea","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark yellow-buff"
"Chestnut Teal","Anas_castanea","Ducks, geese and swans","Anatidae","Anseriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Chestnut Woodpecker","Celeus_elegans","Woodpeckers","Picidae","Piciformes","F","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark brown, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Chestnut Woodpecker","Celeus_elegans","Woodpeckers","Picidae","Piciformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Chestnut-backed Chickadee","Parus_rufescens","Tits and chickadees","Paridae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray"
"Chestnut-backed Chickadee","Parus_rufescens","Tits and chickadees","Paridae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, gray"
"Chestnut-backed Tanager","Tangara_preciosa","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium green, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Chestnut-bellied Fantail","Rhipidura_hyperythra","Fantails","Rhipiduridae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-bellied Flowerpiercer","Diglossa_gloriosissima","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray"
"Chestnut-bellied Monarch","Monarcha_castaneiventris","Monarchs","Monarchidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, gray, medium-dark rufous"
"Chestnut-bellied Mountain-tanager","Delothraupis_castaneoventris","Tanagers","Thraupidae","Passeriformes","M","blue, dark blue, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-bellied Seedeater","Sporophila_castaneiventris","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, medium yellow-buff"
"Chestnut-bellied Seedeater","Sporophila_castaneiventris","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-bellied Starling","Lamprotornis_pulcher","Starlings","Sturnidae","Passeriformes","M","blue, brownish gray, dark gray, gray, medium green, medium orange-buff, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Chestnut-belted Gnateater","Conopophaga_aurita","Gnateaters","Conopophagidae","Passeriformes","F","brownish gray, dark rufous, gray, medium cream, medium orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Chestnut-belted Gnateater","Conopophaga_aurita","Gnateaters","Conopophagidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Chestnut-breasted Coronet","Boissonneaua_matthewsii","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark rufous, medium cream, medium-dark green, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-breasted Mountain-finch","Poospiza_caesar","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous"
"Chestnut-breasted Munia","Lonchura_castaneothorax","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Chestnut-breasted Munia","Lonchura_castaneothorax","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","dark brown, dark rufous, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark orange-buff, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Chestnut-breasted Negrofinch","Nigrita_bicolor","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","black, brownish gray, dark yellow-buff, gray, medium orange-buff, medium tan, medium yellow-buff, medium-dark brown, medium-dark yellow-buff, pale buff, pale cream, pale orange-buff, very pale orange-buff"
"Chestnut-breasted Negrofinch","Nigrita_bicolor","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","black, dark olive, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark red-brown, medium-dark yellow-buff, pale buff, pale gray, very pale buff, very pale orange-buff"
"Chestnut-breasted Quail-thrush","Cinclosoma_castaneothorax","Quail-thrushes","Cinclosomatidae","Passeriformes","F","black, brownish gray, dark blue, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Chestnut-capped Brush-finch","Arremon_brunneinucha","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, pale gray, very dark rufous, very dark yellow-buff"
"Chestnut-capped Puffbird","Bucco_macrodactylus","Puffbirds","Bucconidae","Piciformes","F","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff"
"Chestnut-capped Puffbird","Bucco_macrodactylus","Puffbirds","Bucconidae","Piciformes","M","black, brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Chestnut-collared Longspur","Calcarius_ornatus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Chestnut-collared Swift","Streptoprocne_rutila","Swifts","Apodidae","Apodiformes",NA,"black, brownish gray, dark gray, dark rufous, gray"
"Chestnut-crowned Babbler","Pomatostomus_ruficeps","Australasian babblers","Pomatostomidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, gray, pale gray"
"Chestnut-crowned Becard","Pachyramphus_castaneus","Cotingas","Cotingidae","Passeriformes","F","brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-crowned Becard","Pachyramphus_castaneus","Cotingas","Cotingidae","Passeriformes","M","brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-crowned Foliage-gleaner","Automolus_rufipileatus","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark brown, dark rufous, dark yellow-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-crowned Foliage-gleaner","Automolus_rufipileatus","Ovenbirds","Furnariidae","Passeriformes","M","brownish gray, dark rufous, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes","F","black, brownish gray, dark brown, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, olive-gray"
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes","M","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium cream, medium green, medium yellow-buff, olive-gray, pale green, very dark rufous"
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes",NA,"black, brownish gray, dark brown, dark gray, gray, medium green, medium yellow-buff, medium-dark brown, olive-gray"
"Chestnut-flanked White-eye","Zosterops_erythropleurus","White-eyes","Zosteropidae","Passeriformes","M","brownish gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-fronted Macaw","Ara_severus","Parrots","Psittacidae","Psittaciformes","F","blue, medium green, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-fronted Macaw","Ara_severus","Parrots","Psittacidae","Psittaciformes","M","blue, dark brown, dark yellow-buff, light blue, medium green, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark olive, medium-dark yellow-buff, pale green"
"Chestnut-headed Oropendola","Psarocolius_wagleri","New World blackbirds","Icteridae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff"
"Chestnut-headed Tanager","Pyrrhocoma_ruficeps","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark yellow-buff"
"Chestnut-quilled Rock-pigeon","Petrophassa_rufipennis","Doves and pigeons","Columbidae","Columbiformes","F","gray, olive-gray"
"Chestnut-rumped Thornbill","Acanthiza_uropygialis","Thornbills and gerygones","Acanthizidae","Passeriformes","F","black, brownish gray, dark gray, gray"
"Chestnut-rumped Woodcreeper","Xiphorhynchus_pardalotus","Woodcreepers","Dendrocolaptidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-rumped Woodcreeper","Xiphorhynchus_pardalotus","Woodcreepers","Dendrocolaptidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-sided Warbler","Dendroica_pensylvanica","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream, pale gray"
"Chestnut-sided Warbler","Dendroica_pensylvanica","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, very dark rufous"
"Chestnut-throated Seedeater","Sporophila_telasco","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-tipped Toucanet","Aulacorhynchus_derbianus","Toucans and barbets","Ramphastidae","Piciformes","F","blue, brownish gray, dark gray, dark olive, dark rufous, gray, medium green, medium yellow-buff, medium-dark green, medium-dark olive"
"Chestnut-tipped Toucanet","Aulacorhynchus_derbianus","Toucans and barbets","Ramphastidae","Piciformes","M","brownish gray, dark gray, gray, medium green, medium-dark green, medium-dark olive, medium-dark rufous, olive-gray"
"Chestnut-vented Conebill","Conirostrum_speciosum","Tanagers","Thraupidae","Passeriformes","F","black, brownish gray, dark gray, dark olive, gray, medium cream, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale cream, very dark olive"
"Chestnut-vented Conebill","Conirostrum_speciosum","Tanagers","Thraupidae","Passeriformes","M","black, blue, brownish gray, dark blue, dark gray, gray, light blue, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Chestnut-winged Hookbill","Ancistrops_strigilatus","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff"
"Chestnut-winged Hookbill","Ancistrops_strigilatus","Ovenbirds","Furnariidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chestnut-winged Starling","Onychognathus_fulgidus","Starlings","Sturnidae","Passeriformes","M","blue, brownish gray, dark brown, dark gray, dark rufous, gray"
"Chihuahuan Raven","Corvus_cryptoleucus","Crows and jays","Corvidae","Passeriformes","F","dark gray, gray"
"Chihuahuan Raven","Corvus_cryptoleucus","Crows and jays","Corvidae","Passeriformes","M","dark gray, gray"
"Chimney Swift","Chaetura_pelagica","Swifts","Apodidae","Apodiformes","F","black, brownish gray, dark gray, gray, medium-dark yellow-buff"
"Chinspot Batis","Batis_molitor","Shrike-flycatchers, wattle-eyes and batises","Platysteiridae","Passeriformes","F","black, dark gray, dark rufous, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray, very dark rufous"
"Chipping Sparrow","Spizella_passerina","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark brown, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, pale gray, very dark rufous"
"Chirruping Wedgebill","Psophodes_cristatus","Whipbirds, wedgebills and jewel-babblers","Eupetidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium-dark yellow-buff"
"Chotoy Spinetail","Schoeniophylax_phryganophilus","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, very dark rufous"
"Chowchilla","Orthonyx_spaldingii","Logrunners","Orthonychidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, gray, medium-dark rufous"
"Christmas Island Imperial-pigeon","Ducula_whartoni","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark rufous, olive-gray"
"Christmas Island Shearwater","Puffinus_nativitatis","Petrels and shearwaters","Procellariidae","Procellariiformes","M","brownish gray, dark gray"
"Chubb's Cisticola","Cisticola_chubbi","Cisticolas and allies","Cisticolidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, pale gray"
"Chucao Tapaculo","Scelorchilus_rubecula","Tapaculos","Rhinocryptidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Chucao Tapaculo","Scelorchilus_rubecula","Tapaculos","Rhinocryptidae","Passeriformes","M","brownish gray, dark yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Cinderella Waxbill","Estrilda_thomensis","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","medium tan, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Cinderella Waxbill","Estrilda_thomensis","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","medium tan, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Cinereous Antshrike","Thamnomanes_caesius","Antbirds","Thamnophilidae","Passeriformes","F","black, brownish gray, dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray"
