"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Alpine Citril Finch","Carduelis_citrinella","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, very dark yellow-buff, very pale cream, very pale orange-buff"
"Alpine Munia","Lonchura_monticola","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes",NA,"dark maroon, gray, pale buff, very pale buff, very pale cream, very pale orange-buff"
"Altamira Oriole","Icterus_gularis","New World blackbirds","Icteridae","Passeriformes","F","dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Altamira Oriole","Icterus_gularis","New World blackbirds","Icteridae","Passeriformes","M","dark gray, medium yellow-buff"
"Amazilia Hummingbird","Amazilia_amazilia","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, gray, medium yellow-buff, medium-dark green, medium-dark orange-buff, medium-dark yellow-buff"
"Amazon Kingfisher","Chloroceryle_amazona","Kingfishers","Alcedinidae","Coraciiformes","F","black, dark gray, gray, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale gray"
"Amazon Kingfisher","Chloroceryle_amazona","Kingfishers","Alcedinidae","Coraciiformes","M","black, dark gray, dark olive, dark rufous, gray, medium-dark green, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray"
"Amazonian Antshrike","Thamnophilus_amazonicus","Antbirds","Thamnophilidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, pale gray"
"Amazonian Antshrike","Thamnophilus_amazonicus","Antbirds","Thamnophilidae","Passeriformes","M","black, dark gray, gray, pale gray"
"Amazonian Barred Woodcreeper","Dendrocolaptes_certhia","Woodcreepers","Dendrocolaptidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Amazonian Barred Woodcreeper","Dendrocolaptes_certhia","Woodcreepers","Dendrocolaptidae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Amazonian Royal Flycatcher","Onychorhynchus_coronatus","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark brown, medium-dark rufous, medium-dark yellow-buff"
"Amazonian Royal Flycatcher","Onychorhynchus_coronatus","Tyrant-flycatchers","Tyrannidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
