









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014599	0.0037152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026132	0.0338295	0.04426	0.0098361	0.0080321	
Cackling Goose	0.0309148	0.0252238	0.0237226	0.0209177	0.0219048	0.0106952	0.0085179	0.0149007	0.0226277	0.022291	0.0112211	0.0017552	6.68E-4	6.519E-4	0.0	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031915	0.0074707	0.0133829	0.0247423	0.0217143	0.0295203	0.0479094	0.0514208	0.0497925	0.031694	0.0424555	
Canada Goose	0.5356467	0.5093572	0.4817518	0.4777328	0.4590476	0.3983957	0.3330494	0.5380795	0.6270073	0.6204334	0.5947195	0.5686705	0.495658	0.5110821	0.5	0.5091426	0.4683597	0.4071082	0.3710046	0.2957672	0.288	0.2422566	0.1688183	0.1505078	0.1666667	0.1833568	0.2323077	0.2878788	0.2899485	0.2696203	0.2202073	0.1899529	0.2073544	0.1677419	0.2427083	0.2945874	0.4154728	0.4574468	0.4674493	0.5263941	0.4876289	0.4937143	0.4944649	0.5583624	0.5317997	0.5463347	0.4797814	0.5272519	
Greater White-fronted x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.388E-4	6.68E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow x Canada Goose (hybrid)	6.309E-4	0.002441	0.0	6.748E-4	9.524E-4	0.0	4.259E-4	0.0016556	0.0036496	0.0012384	0.0	4.388E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052045	0.0	0.0034286	0.00123	0.0017422	0.0027064	0.0041494	0.0	0.0011474	
Cackling/Canada Goose	6.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.278E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0	0.0	0.00123	8.711E-4	0.0	0.0013831	0.0010929	0.0011474	
Mute Swan	0.0246057	0.0309194	0.0218978	0.0263158	0.0380952	0.0274064	0.0259796	0.0264901	0.0569343	0.0551084	0.0455446	0.0535323	0.0694723	0.0795306	0.042503	0.04551	0.0362198	0.0391761	0.0302511	0.0269841	0.025	0.0165929	0.0119166	0.0110803	0.0123457	0.0141044	0.0261538	0.0123106	0.0180412	0.0202532	0.0272021	0.0392465	0.0275792	0.0290323	0.028125	0.0301686	0.0458453	0.0276596	0.0234792	0.0483271	0.0237113	0.0262857	0.0221402	0.0487805	0.0230041	0.033195	0.0185792	0.0298336	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan	6.309E-4	0.0	0.0027372	0.0047233	0.007619	0.0013369	0.0015	0.0107616	0.0248175	0.0297214	0.0178218	0.0052655	0.002004	0.0032595	0.0011806	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041237	0.0022857	0.00246	0.0069686	0.0094723	0.0027663	0.0	0.0034423	
