









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Bufflehead	0.1362776	0.1131001	0.0985401	0.1079622	0.1238095	0.1016043	0.0621806	0.1407285	0.1649635	0.1690402	0.1518152	0.1448004	0.1402806	0.0899609	0.0578512	0.026412	0.0199833	0.0177706	0.0034247	5.291E-4	0.002	0.005531	0.0	0.0027701	0.0012346	0.0	0.0015385	9.47E-4	0.0	0.0	0.0012953	7.849E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0252788	0.0587629	0.0994286	0.0848708	0.1202091	0.1136671	0.0816044	0.0961749	0.1388411	
Common Goldeneye	0.044164	0.0414972	0.0556569	0.0539811	0.0666667	0.0568182	0.0455707	0.0587748	0.0277372	0.0421053	0.029703	0.0065818	0.001336	0.0013038	5.903E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010309	0.0022857	0.0	0.0	0.0013532	0.011065	0.0153005	0.0533563	
Barrow's Goldeneye	0.0044164	0.002441	0.004562	0.0040486	0.0047619	0.0020053	0.0042589	0.0041391	7.299E-4	0.0012384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068847	
Common x Barrow's Goldeneye (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common/Barrow's Goldeneye	0.0	0.0	9.124E-4	6.748E-4	0.0	0.0	0.0	8.278E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hooded Merganser	0.0359621	0.0349878	0.0218978	0.0431849	0.047619	0.026738	0.0340716	0.0571192	0.1145985	0.1157895	0.1082508	0.0820535	0.0594522	0.0397653	0.0242031	0.0093458	0.0037469	0.0056543	0.0039954	0.0063492	0.001	0.0033186	0.0029791	9.234E-4	0.0	0.0056417	0.0092308	0.0075758	0.0051546	0.0101266	0.011658	0.0047096	0.0040858	0.0043011	0.00625	0.0070985	0.0047755	0.0021277	0.0074707	0.0111524	0.0134021	0.0148571	0.0172202	0.0165505	0.0162382	0.0207469	0.0262295	0.0212278	
Common Merganser	0.1880126	0.1757526	0.1751825	0.1929825	0.1952381	0.1791444	0.1230835	0.2359272	0.2138686	0.2055728	0.1973597	0.1632295	0.1242485	0.1121252	0.0938607	0.1032101	0.0749376	0.0613893	0.0553653	0.0386243	0.043	0.0376106	0.0287984	0.023084	0.0271605	0.0197461	0.0261538	0.0179924	0.0193299	0.0177215	0.0181347	0.0251177	0.031665	0.0247312	0.03125	0.0461402	0.0429799	0.0382979	0.0437567	0.0468401	0.0536082	0.0514286	0.0651907	0.1001742	0.1028417	0.1438451	0.1289617	0.178428	
Red-breasted Merganser	0.0018927	0.0032547	0.0018248	0.0013495	0.0038095	0.0153743	0.0068143	0.0248344	0.0138686	0.0247678	0.0138614	0.0114085	0.007348	0.0104302	0.0088548	0.001219	0.0	0.0020194	0.0011416	5.291E-4	0.0	0.0011062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0020619	0.0011429	0.0	0.0034843	0.0015	0.0	0.0010929	0.0028686	
Common/Red-breasted Merganser	0.0	0.0	0.0	6.748E-4	9.524E-4	0.0	4.259E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
merganser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck	0.0876972	0.0618389	0.0410584	0.0546559	0.0504762	0.0481283	0.0272572	0.0637417	0.0934307	0.0842105	0.0640264	0.0820535	0.0828323	0.0567145	0.0448642	0.0134092	0.0158201	0.0092892	0.0068493	0.0063492	0.006	0.0154867	0.0069513	0.0046168	0.0049383	0.0084626	0.0076923	0.0075758	0.0090206	0.0037975	0.0012953	0.0023548	0.0030644	0.0043011	0.0010417	0.0017746	0.0095511	0.0159574	0.022412	0.1085502	0.0907216	0.0925714	0.100861	0.1123693	0.0906631	0.0829876	0.0590164	0.0774527	
duck sp.	0.0044164	0.002441	0.0027372	0.0053981	0.0057143	0.0086898	0.0025554	0.0066225	0.0051095	0.0068111	0.0052805	0.006143	0.005344	0.0026076	0.0029516	0.002438	0.0029142	0.0028271	0.0028539	0.0010582	0.004	0.0022124	9.93E-4	9.234E-4	0.0012346	0.0014104	0.0015385	0.0037879	0.0025773	0.0050633	0.0	7.849E-4	0.0010215	0.0010753	0.0041667	0.0017746	0.0057307	0.0031915	0.0096051	0.005948	0.0072165	0.0137143	0.00123	0.0043554	0.0040595	0.0069156	0.0065574	0.0034423	
waterfowl sp.	0.0	0.0016273	9.124E-4	6.748E-4	0.0	0.0	0.0015	0.0	7.299E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020619	0.0	0.0	8.711E-4	0.0	0.0	0.0	5.737E-4	
Northern Bobwhite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68E-4	0.0	0.0	0.0	4.163E-4	0.0012116	0.0017123	5.291E-4	0.001	0.0	0.0	0.0018467	0.0012346	0.0	0.0	0.0	0.0	0.0	0.0	7.849E-4	0.0030644	0.0010753	0.0015	0.0	9.551E-4	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Wild Turkey	0.0126183	0.007323	0.0082117	0.0121457	0.0085714	0.006016	0.0068143	0.0057947	0.0065693	0.0049536	0.0092409	0.0105309	0.01002	0.0189048	0.0253837	0.0231613	0.0237302	0.029483	0.0228311	0.0248677	0.016	0.0088496	0.0089374	0.0083102	0.0037037	0.0084626	0.0030769	0.0047348	0.0051546	0.0139241	0.007772	0.0102041	0.0132789	0.0096774	0.0114583	0.0070985	0.0105062	0.0053191	0.0053362	0.0111524	0.0020619	0.0057143	0.00369	0.0017422	0.0040595	0.0041494	0.0087432	0.0109007	
Ruffed Grouse	0.0	0.0	0.0	0.0	9.524E-4	0.0	0.0	8.278E-4	0.0	0.0	6.601E-4	0.0	0.0	0.0013038	0.0015	0.0	0.0	0.0015	5.708E-4	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025907	0.0031397	0.0040858	0.0043011	0.00625	0.0017746	0.0028653	0.0021277	0.0021345	0.001487	0.0	0.0034286	0.0	0.0	0.0	0.0013831	0.0	5.737E-4	
Ring-necked Pheasant	0.0012618	0.002441	0.0018248	0.0013495	9.524E-4	0.0013369	4.259E-4	8.278E-4	0.0021898	0.0	6.601E-4	0.0017552	0.001336	0.0019557	0.0035419	0.0028444	0.0054122	0.0052504	0.005137	0.0015873	0.003	0.0	0.0	0.0027701	0.0012346	0.0	0.0	0.0018939	0.0012887	0.0	0.0	0.0047096	0.0061287	0.0021505	0.003125	0.0	9.551E-4	0.0021277	0.0042689	7.435E-4	0.0010309	0.0	0.00123	0.0	0.0013532	0.0	0.0032787	0.0022949	
Red Junglefowl	0.0	0.0	0.0	0.0	0.0	6.684E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
old world quail sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.039E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chukar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.163E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010417	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon	0.0984227	0.1049634	0.1067518	0.0937922	0.1038095	0.0822193	0.0519591	0.0819536	0.0751825	0.069969	0.0752475	0.0666959	0.0474282	0.0664928	0.0489965	0.0666396	0.05204	0.0561389	0.0570776	0.047619	0.062	0.050885	0.0496524	0.0507849	0.062963	0.0521862	0.0553846	0.0454545	0.0451031	0.0759494	0.0582902	0.0737834	0.072523	0.0870968	0.103125	0.0674357	0.0678128	0.0680851	0.0672359	0.0765799	0.0896907	0.0788571	0.0910209	0.0923345	0.0798376	0.0857538	0.0994536	0.1193345	
Eurasian Collared-Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0012658	0.0	0.0	0.0	0.0010753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
African Collared-Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mourning Dove	0.3091483	0.2953621	0.3421533	0.3346829	0.3571429	0.4291444	0.4646508	0.4453642	0.4459854	0.4340557	0.4805281	0.5089952	0.48831	0.5039113	0.5584416	0.5774076	0.5537052	0.4983845	0.5285388	0.4984127	0.539	0.5099558	0.5332671	0.5392428	0.5839506	0.5627645	0.5953846	0.6022727	0.5940722	0.5962025	0.5971503	0.6240188	0.6128703	0.572043	0.525	0.4942325	0.4727794	0.3489362	0.361793	0.33829	0.2804124	0.3085714	0.3161132	0.3057491	0.3125846	0.2959889	0.3060109	0.3384968	
Yellow-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095754	0.0242326	0.0656393	0.0555556	0.037	0.0287611	0.0268123	0.0387812	0.0135802	0.0098731	0.0061538	0.0246212	0.0167526	0.0075949	0.0272021	0.0274725	0.0377937	0.0247312	0.0322917	0.0212955	0.0143266	0.0095745	0.0021345	0.001487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.063E-4	0.0058285	0.0189822	0.0228311	0.0179894	0.009	0.0044248	9.93E-4	0.0055402	0.0049383	0.0014104	0.0015385	0.0028409	0.003866	0.0	0.0	0.0039246	0.0071502	0.0053763	0.0052083	0.0026619	0.0	0.0010638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-billed/Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.163E-4	4.039E-4	0.0011416	0.0010582	0.0	0.0	0.0	9.234E-4	0.0	0.0	0.0	0.0	0.0012887	0.0	0.0012953	0.0	0.0010215	0.0010753	0.0010417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Nighthawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.519E-4	0.0	0.0	0.0016653	0.006462	0.027968	0.0222222	0.003	0.0015	0.0	0.0	0.0012346	0.0	0.0	0.0	0.0015	0.0025316	0.015544	0.0478807	0.0234934	0.044086	0.021875	0.0150843	0.0019102	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Whip-poor-will	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.063E-4	4.163E-4	0.0020194	0.0028539	0.0010582	0.003	0.0088496	0.0059583	0.0018467	0.0037037	0.0	0.0015385	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0047755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chimney Swift	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005867	0.0413223	0.1141812	0.1619484	0.1526656	0.1980594	0.1920635	0.22	0.2079646	0.142006	0.1597415	0.2320988	0.2327221	0.2276923	0.219697	0.1636598	0.1898734	0.1826425	0.200157	0.1736466	0.1473118	0.1989583	0.133984	0.0878701	0.0319149	0.0064034	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruby-throated Hummingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011806	0.0125965	0.0645296	0.1001616	0.1067352	0.0904762	0.091	0.0818584	0.0665343	0.0941828	0.1012346	0.1114245	0.1584615	0.1344697	0.1146907	0.1139241	0.1813472	0.2684458	0.2819203	0.2344086	0.1947917	0.0576752	0.0219675	0.0117021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous Hummingbird	0.0	0.0	9.124E-4	0.0	9.524E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047755	0.0	0.0	7.435E-4	0.0	0.008	0.0135301	0.0017422	0.0015	0.0013831	0.0	5.737E-4	
Selasphorus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hummingbird sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Virginia Rail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334	0.0039113	0.0182999	0.0085331	0.0037469	0.003231	0.0034247	0.0015873	0.001	0.0	9.93E-4	0.0	0.0015	0.0	0.0	0.0075758	0.0012887	0.0063291	0.0012953	0.0	0.0010215	0.0	0.0	0.0015	9.551E-4	0.0031915	0.0032017	7.435E-4	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Sora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165289	0.0016254	8.326E-4	0.0012116	0.0039954	5.291E-4	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012658	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0031915	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Gallinule	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.388E-4	0.002672	0.0	0.014758	0.0028444	0.0058285	0.0052504	0.0085616	0.0026455	0.004	0.0	0.0	0.0	0.0	0.0056417	0.0	0.0	0.0025773	0.0025316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Coot	0.0429022	0.0358015	0.0392336	0.048583	0.0333333	0.0354278	0.0208688	0.0463576	0.0518248	0.0489164	0.0481848	0.0552874	0.0541082	0.0378096	0.0371901	0.0125965	0.0045795	0.0016155	0.0045662	0.0010582	0.0	0.0	0.0	0.0	0.0	0.0014104	0.0015385	0.0	0.0	0.0	0.0012953	7.849E-4	0.0	0.0	0.0	0.0	0.0019102	0.006383	0.0117396	0.0289963	0.0360825	0.0365714	0.0270603	0.0426829	0.0514208	0.02213	0.0273224	0.0355709	
Yellow Rail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sandhill Crane	0.0	0.0015	9.124E-4	6.748E-4	0.0	0.0015	0.0015	0.0016556	0.0029197	0.0012384	6.601E-4	0.0	0.0015	0.0013038	5.903E-4	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0138462	0.0113636	0.0025773	0.0025316	0.0	0.0015699	0.0	0.0	0.0	8.873E-4	0.0	0.0010638	0.0	0.0015	0.0061856	0.0011429	0.00369	0.0034843	0.0027064	0.0015	0.0021858	0.0015	
Black-necked Stilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Avocet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041632	0.0024233	0.0011416	0.0063492	0.0	0.0033186	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	8.873E-4	0.0	0.0	0.0010672	7.435E-4	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
American Golden-Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0097521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0021505	0.009375	0.0017746	0.0019102	0.0095745	0.0032017	0.002974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Killdeer	0.0050473	0.0065094	0.0027372	0.0033738	0.0133333	0.0160428	0.0132027	0.0488411	0.0941606	0.1071207	0.1405941	0.1360246	0.1162325	0.1095176	0.0844156	0.1271841	0.1290591	0.1001616	0.1055936	0.1137566	0.108	0.1084071	0.0675273	0.0600185	0.0592593	0.1325811	0.1307692	0.1420455	0.1546392	0.1582278	0.130829	0.100471	0.1052094	0.0698925	0.078125	0.0922804	0.0744986	0.0734043	0.0917823	0.072119	0.0701031	0.0411429	0.0270603	0.0209059	0.0094723	0.0096819	0.0076503	0.0017212	
Semipalmated Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087427	0.0193861	0.0336758	0.031746	0.008	0.0176991	9.93E-4	0.0	0.0	0.0	0.0015385	0.0104167	0.0103093	0.0265823	0.0207254	0.010989	0.0081716	0.0015	0.0020833	8.873E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
plover sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Upland Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Whimbrel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	8.873E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Godwit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0010215	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Short-billed Dowitcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012116	0.0017123	0.0079365	0.001	0.0	0.0	0.0	0.0	0.0155148	0.0	9.47E-4	0.0025773	0.0012658	0.0	7.849E-4	0.0010215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-billed Dowitcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47E-4	0.0012887	0.0015	0.0	0.0	0.0	0.0	0.0010417	0.0	0.0057307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Short-billed/Long-billed Dowitcher	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Woodcock	0.0	0.0	0.0	0.0	0.0	0.0	0.0012777	0.0082781	0.0131387	0.0309598	0.0250825	0.0087758	0.00334	6.519E-4	0.0011806	0.0	0.001249	0.0028271	0.0011416	0.0015	0.001	0.0	0.0019861	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010638	0.0010672	0.001487	0.0030928	0.0015	0.00123	8.711E-4	0.0	0.0013831	0.0	0.0	
Wilson's Snipe	0.0015	0.0016273	0.0	0.0	9.524E-4	6.684E-4	0.0	8.278E-4	0.0058394	0.0037152	0.0125413	0.0219394	0.0227121	0.0325945	0.0236128	0.0292564	0.0133222	0.0052504	0.0017123	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012658	0.0	0.0054945	0.0051073	0.0010753	0.003125	0.0035492	0.0047755	0.0074468	0.0117396	0.0066914	0.0	0.0	0.00123	0.0	0.0	0.0027663	0.0021858	5.737E-4	
Wilson's Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.039E-4	0.0015	0.0074074	0.0	0.0	0.0	0.0	0.0	0.0042313	0.0	0.0	0.0	0.0316456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-necked Phalarope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005137	0.010582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0141753	0.0253165	0.0	7.849E-4	0.0020429	0.0015	0.0	0.0088731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Spotted Sandpiper	0.0037855	0.0016273	0.0	0.0013495	0.0019048	0.0026738	4.259E-4	0.0	0.0014599	0.0	6.601E-4	8.776E-4	0.002004	0.005867	0.0253837	0.1088988	0.1386345	0.1401454	0.1381279	0.1243386	0.065	0.0486726	0.0218471	0.0249307	0.0271605	0.0479549	0.0461538	0.0691288	0.0811856	0.1151899	0.0738342	0.0502355	0.0347293	0.0107527	0.0145833	0.0079858	0.008596	0.0010638	0.0	7.435E-4	0.0010309	0.0	0.0	0.0	0.0	0.0013831	0.0010929	0.0011474	
