"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Long-tailed Parakeet","Psittacula_longicauda","Parrots","Psittacidae","Psittaciformes","M","blue, dark gray, gray, medium cream, medium green, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark yellow-buff, olive-gray","medium-dark yellow-buff, medium-dark green, medium green",NA,"medium-dark yellow-buff, medium-dark green, gray, medium yellow-buff",NA,NA,"medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff",NA,NA,NA,"medium-dark olive, medium-dark yellow-buff, medium-dark green, medium green",NA,NA,"medium green",NA,"medium-dark yellow-buff, medium-dark green, medium-dark olive, dark gray","medium yellow-buff, medium-dark yellow-buff, medium green",NA,NA,"medium green","medium-dark green, medium-dark yellow-buff","medium-dark olive, medium-dark green",NA,NA,NA,NA,"medium green, medium yellow-buff, medium cream","medium-dark green, olive-gray, blue",NA,NA,NA,NA
"Long-tailed Reed-finch","Donacospiza_albifrons","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","gray, dark gray, brownish gray",NA,NA,NA,"gray, brownish gray",NA,NA,NA,NA,"brownish gray, gray","gray, brownish gray, medium-dark yellow-buff",NA,"brownish gray, gray, medium-dark yellow-buff, dark yellow-buff",NA,"medium-dark yellow-buff, gray, medium yellow-buff","medium-dark yellow-buff, brownish gray","gray, medium-dark yellow-buff",NA,"gray, brownish gray, medium-dark yellow-buff","gray",NA,NA,NA,NA,NA,"brownish gray","brownish gray",NA,NA,NA,NA
"Long-tailed Shrike","Lanius_schach","Shrikes","Laniidae","Passeriformes","F","black, dark gray, dark rufous, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, dark rufous, medium-dark orange-buff, medium-dark yellow-buff",NA,NA,NA,"gray",NA,"gray",NA,NA,"dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Long-tailed Sylph","Aglaiocercus_kingi","Hummingbirds","Trochilidae","Apodiformes","F","blue, brownish gray, dark gray, dark olive, dark yellow-buff, gray, medium-dark green, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray","medium-dark green, blue",NA,"medium-dark green, olive-gray, medium-dark yellow-buff",NA,NA,"dark yellow-buff, medium-dark yellow-buff, medium-dark rufous",NA,NA,NA,NA,"medium-dark yellow-buff",NA,"medium-dark yellow-buff, medium-dark green",NA,"gray","medium-dark yellow-buff, medium-dark rufous, medium-dark orange-buff","medium-dark rufous, medium-dark orange-buff",NA,NA,"dark yellow-buff, olive-gray, dark olive",NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"dark olive, gray, blue, dark gray, medium-dark green",NA
"Long-tailed Sylph","Aglaiocercus_kingi","Hummingbirds","Trochilidae","Apodiformes","M","blue, brownish gray, dark blue, dark gray, dark olive, dark yellow-buff, gray, medium green, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray","dark olive, medium-dark olive",NA,"medium-dark olive, medium-dark yellow-buff",NA,NA,"medium-dark yellow-buff, olive-gray","medium-dark green",NA,NA,NA,"medium-dark yellow-buff, olive-gray, medium-dark green",NA,"medium-dark green, medium-dark olive, blue",NA,"blue, gray, medium-dark yellow-buff","medium-dark yellow-buff, gray","medium-dark yellow-buff, gray, medium-dark green",NA,"medium-dark green","dark yellow-buff, dark olive, medium-dark yellow-buff",NA,"brownish gray",NA,NA,NA,"dark gray, brownish gray",NA,NA,"blue","medium-dark olive, dark gray, dark blue, blue",NA
"Long-tailed Tit","Aegithalos_caudatus","Long-tailed Tits","Aegithalidae","Passeriformes","F","brownish gray, dark gray, gray","gray",NA,"dark gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray",NA,NA,"gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Tit","Aegithalos_caudatus","Long-tailed Tits","Aegithalidae","Passeriformes","M","brownish gray, dark gray, gray","gray",NA,"dark gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray",NA,NA,"gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Tyrant","Colonia_colonus","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","black, brownish gray, dark gray, gray","brownish gray, dark gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, black",NA,NA,NA,"brownish gray, dark gray, gray",NA,"dark gray, black",NA,NA,"dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Long-tailed Tyrant","Colonia_colonus","Tyrant-flycatchers","Tyrannidae","Passeriformes",NA,"black, brownish gray, dark gray, gray","gray",NA,"gray","gray","gray","dark gray","dark gray",NA,NA,NA,"gray","dark gray","gray",NA,"dark gray","dark gray","gray","gray","dark gray","gray",NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,"black",NA
"Long-tailed Woodcreeper","Deconychura_longicauda","Woodcreepers","Dendrocolaptidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, very dark rufous","brownish gray, gray, medium-dark yellow-buff",NA,"brownish gray","brownish gray, medium-dark yellow-buff, dark yellow-buff","medium-dark yellow-buff, gray","gray, medium-dark yellow-buff","medium-dark yellow-buff",NA,NA,NA,"dark yellow-buff","medium-dark yellow-buff, dark yellow-buff","dark yellow-buff",NA,"medium-dark yellow-buff","medium yellow-buff, brownish gray, medium-dark yellow-buff","medium-dark yellow-buff","dark yellow-buff","medium-dark yellow-buff, dark yellow-buff","dark yellow-buff",NA,"brownish gray",NA,"dark yellow-buff",NA,NA,NA,NA,NA,"dark rufous, very dark rufous",NA
