"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Chestnut-bellied Monarch","Monarcha_castaneiventris","Monarchs","Monarchidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, gray, medium-dark rufous","dark gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,NA,"black, dark gray",NA,"medium-dark rufous, dark rufous",NA,NA,NA,"gray, dark gray",NA,NA,NA,NA,NA,"dark gray, gray","gray, dark gray, brownish gray",NA,NA,NA
"Chestnut-bellied Mountain-tanager","Delothraupis_castaneoventris","Tanagers","Thraupidae","Passeriformes","M","blue, dark blue, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff","blue",NA,NA,NA,NA,"dark gray",NA,NA,NA,NA,"gray, dark gray, blue, dark blue",NA,"blue, dark gray, dark blue, gray",NA,"medium-dark yellow-buff, gray","medium-dark yellow-buff, medium-dark rufous, dark rufous","medium-dark yellow-buff, medium-dark rufous, dark rufous",NA,"medium-dark rufous, dark rufous, medium-dark yellow-buff","blue, dark gray",NA,NA,NA,NA,NA,"dark gray, gray","dark gray",NA,NA,NA,NA
"Chestnut-bellied Seedeater","Sporophila_castaneiventris","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, medium yellow-buff","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,NA,"medium yellow-buff","medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray",NA
"Chestnut-bellied Seedeater","Sporophila_castaneiventris","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","gray, dark yellow-buff, dark gray",NA,NA,NA,NA,"gray, dark yellow-buff, brownish gray, dark gray",NA,NA,NA,NA,"gray, brownish gray, dark gray",NA,"gray, brownish gray, dark yellow-buff, medium-dark yellow-buff",NA,"medium-dark yellow-buff, gray, dark brown, dark rufous, brownish gray","medium-dark yellow-buff, gray, brownish gray, dark rufous, dark brown, medium-dark rufous","gray, medium-dark yellow-buff, medium yellow-buff, dark rufous, brownish gray, medium-dark rufous","gray, medium-dark yellow-buff","gray, medium-dark yellow-buff, medium yellow-buff, dark rufous, brownish gray",NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark gray","brownish gray, gray, dark gray",NA,NA,"dark gray",NA
"Chestnut-bellied Starling","Lamprotornis_pulcher","Starlings","Sturnidae","Passeriformes","M","blue, brownish gray, dark gray, gray, medium green, medium orange-buff, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray","gray, dark gray, brownish gray",NA,"olive-gray, gray, brownish gray, medium-dark green",NA,NA,NA,NA,NA,NA,NA,"olive-gray, medium green, medium-dark green, gray, brownish gray, medium-dark yellow-buff, medium yellow-buff",NA,"medium green, olive-gray, brownish gray",NA,"olive-gray, medium-dark olive, gray, brownish gray, medium-dark yellow-buff","medium-dark yellow-buff, medium-dark orange-buff, medium orange-buff, olive-gray","gray, medium-dark yellow-buff, olive-gray, medium-dark rufous, medium-dark orange-buff",NA,NA,"olive-gray, medium-dark green, medium-dark yellow-buff, gray, medium-dark olive",NA,NA,NA,NA,"medium yellow-buff, gray","olive-gray, gray, medium green, medium yellow-buff, medium-dark green, medium-dark yellow-buff",NA,NA,NA,"blue, gray, dark gray, olive-gray",NA
"Chestnut-belted Gnateater","Conopophaga_aurita","Gnateaters","Conopophagidae","Passeriformes","F","brownish gray, dark rufous, gray, medium cream, medium orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, medium-dark rufous",NA,NA,NA,"gray, pale gray",NA,NA,NA,NA,NA,"medium-dark yellow-buff, dark rufous",NA,NA,NA,"medium orange-buff, medium cream","medium-dark rufous","gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous",NA,NA,NA,"brownish gray",NA
"Chestnut-belted Gnateater","Conopophaga_aurita","Gnateaters","Conopophagidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, dark rufous",NA,NA,NA,"gray, pale gray",NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, medium-dark rufous",NA,NA,NA,"dark gray, gray, medium yellow-buff","medium-dark rufous","gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous, medium-dark rufous, medium-dark yellow-buff, brownish gray",NA,NA,NA,"brownish gray",NA
"Chestnut-breasted Coronet","Boissonneaua_matthewsii","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark rufous, medium cream, medium-dark green, medium-dark rufous, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark green",NA,"medium cream",NA,NA,"dark rufous","medium-dark rufous",NA,"medium-dark rufous",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,"medium-dark rufous","medium-dark yellow-buff",NA
"Chestnut-breasted Mountain-finch","Poospiza_caesar","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous","dark gray",NA,NA,"gray, brownish gray",NA,"black, dark gray",NA,NA,NA,NA,"dark gray, gray",NA,"dark gray",NA,"gray","dark rufous","gray",NA,"dark yellow-buff, medium-dark rufous, dark rufous",NA,NA,NA,NA,NA,NA,"dark gray, brownish gray","dark gray",NA,NA,NA,NA
"Chestnut-breasted Munia","Lonchura_castaneothorax","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark rufous, dark rufous",NA,NA,NA,"medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff",NA,"gray, pale gray",NA,NA,"dark rufous, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark yellow-buff, dark yellow-buff",NA
"Chestnut-breasted Munia","Lonchura_castaneothorax","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","dark brown, dark rufous, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark orange-buff, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff","very pale orange-buff, very pale cream, pale buff","very pale orange-buff, very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"medium orange-buff, medium-dark orange-buff, pale orange-buff, very pale orange-buff",NA,NA,NA,"medium red-brown, medium pinkish buff, medium tan, medium orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark brown, medium-dark brown, dark rufous, medium-dark rufous, very pale orange-buff, very pale buff",NA,NA,NA,"very pale cream, very pale orange-buff",NA
"Chestnut-breasted Negrofinch","Nigrita_bicolor","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","black, brownish gray, dark yellow-buff, gray, medium orange-buff, medium tan, medium yellow-buff, medium-dark brown, medium-dark yellow-buff, pale buff, pale cream, pale orange-buff, very pale orange-buff","black, medium yellow-buff, medium tan, medium orange-buff, pale orange-buff","medium tan, medium-dark brown, medium yellow-buff, pale cream, pale buff",NA,NA,NA,NA,NA,NA,NA,NA,"pale buff, medium tan, medium-dark yellow-buff, black, medium orange-buff, pale cream",NA,NA,NA,"medium tan, pale orange-buff, very pale orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, black, dark yellow-buff, very pale orange-buff",NA,NA,NA,"black, brownish gray, medium yellow-buff",NA
"Chestnut-breasted Negrofinch","Nigrita_bicolor","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","black, dark olive, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark red-brown, medium-dark yellow-buff, pale buff, pale gray, very pale buff, very pale orange-buff","medium red-brown, medium-dark brown, medium-dark yellow-buff, very pale orange-buff, pale buff, very pale buff","very pale buff, medium tan, medium-dark brown",NA,NA,NA,NA,NA,NA,NA,NA,"medium red-brown, medium tan, medium-dark brown, black, dark olive",NA,NA,NA,"very pale buff, medium-dark brown, very pale orange-buff, pale buff, medium tan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium pinkish buff, medium red-brown, black, medium orange-buff, medium-dark brown, pale buff",NA,NA,NA,"medium red-brown, pale gray, black, medium-dark red-brown",NA
"Chestnut-breasted Quail-thrush","Cinclosoma_castaneothorax","Quail-thrushes","Cinclosomatidae","Passeriformes","F","black, brownish gray, dark blue, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous, medium-dark rufous",NA,NA,NA,"dark gray, black, dark blue, gray, medium-dark yellow-buff, medium yellow-buff, dark yellow-buff",NA,"gray, pale gray, medium-dark orange-buff, medium-dark rufous, brownish gray, medium-dark yellow-buff",NA,NA,"dark gray, gray, brownish gray, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, medium-dark rufous, dark rufous",NA
"Chestnut-capped Brush-finch","Arremon_brunneinucha","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, pale gray, very dark rufous, very dark yellow-buff","dark rufous, very dark rufous, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, very dark yellow-buff, dark yellow-buff, dark gray",NA,NA,NA,"gray",NA,"gray, pale gray",NA,NA,"gray, dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray, brownish gray",NA
"Chestnut-capped Puffbird","Bucco_macrodactylus","Puffbirds","Bucconidae","Piciformes","F","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff","dark rufous",NA,"dark rufous, medium-dark yellow-buff, medium-dark orange-buff",NA,NA,"dark gray",NA,NA,NA,NA,"brownish gray",NA,"brownish gray",NA,"medium cream","gray, medium yellow-buff, medium cream","medium yellow-buff",NA,NA,"brownish gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray",NA
"Chestnut-capped Puffbird","Bucco_macrodactylus","Puffbirds","Bucconidae","Piciformes","M","black, brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream","dark rufous",NA,"medium-dark rufous, dark rufous",NA,NA,"dark gray, black",NA,NA,NA,NA,"brownish gray",NA,"brownish gray, dark rufous",NA,"medium yellow-buff, pale cream","medium yellow-buff, medium-dark yellow-buff, gray, medium cream","medium yellow-buff",NA,NA,"brownish gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray",NA
"Chestnut-collared Longspur","Calcarius_ornatus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","gray, black, dark gray, brownish gray, dark yellow-buff, medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray, medium-dark yellow-buff",NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff, gray",NA,"black, dark gray, gray, brownish gray, medium-dark yellow-buff",NA,NA,"black, dark gray, brownish gray, medium-dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray",NA
"Chestnut-collared Swift","Streptoprocne_rutila","Swifts","Apodidae","Apodiformes",NA,"black, brownish gray, dark gray, dark rufous, gray","brownish gray, black, dark gray",NA,"brownish gray, dark gray",NA,NA,"brownish gray",NA,NA,NA,NA,"gray, dark gray, black, brownish gray",NA,"brownish gray",NA,"brownish gray, black, dark gray, dark rufous","brownish gray","brownish gray, gray, dark gray",NA,NA,"gray",NA,NA,NA,NA,NA,"gray",NA,NA,NA,"black, gray, dark gray",NA
"Chestnut-crowned Babbler","Pomatostomus_ruficeps","Australasian babblers","Pomatostomidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, gray, pale gray","brownish gray, dark rufous, dark brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"gray, pale gray",NA,"gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, brownish gray",NA
"Chestnut-crowned Becard","Pachyramphus_castaneus","Cotingas","Cotingidae","Passeriformes","F","brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous, brownish gray",NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, dark rufous, medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-crowned Becard","Pachyramphus_castaneus","Cotingas","Cotingidae","Passeriformes","M","brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous",NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous",NA,NA,NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-crowned Foliage-gleaner","Automolus_rufipileatus","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark brown, dark rufous, dark yellow-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark rufous, dark rufous",NA,"dark rufous","dark rufous, medium-dark rufous","medium-dark orange-buff, medium-dark rufous","medium-dark yellow-buff, medium-dark rufous","medium-dark yellow-buff",NA,NA,NA,"dark yellow-buff, dark rufous","medium-dark rufous","dark rufous",NA,"medium yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff, medium-dark rufous","medium-dark rufous, medium-dark orange-buff",NA,"brownish gray, dark rufous",NA,"medium-dark rufous",NA,NA,NA,NA,NA,"dark rufous, dark brown",NA
"Chestnut-crowned Foliage-gleaner","Automolus_rufipileatus","Ovenbirds","Furnariidae","Passeriformes","M","brownish gray, dark rufous, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous, medium-dark rufous",NA,"dark rufous","dark rufous, medium-dark rufous","medium-dark rufous, medium yellow-buff","medium-dark yellow-buff, medium-dark rufous","medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,"dark rufous, medium-dark rufous","medium-dark rufous, medium-dark orange-buff","dark rufous",NA,"medium yellow-buff","medium-dark yellow-buff, medium yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff","medium-dark rufous, medium-dark orange-buff",NA,"brownish gray, dark rufous",NA,"medium-dark rufous",NA,NA,NA,NA,NA,"medium-dark rufous",NA
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes","F","black, brownish gray, dark brown, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, olive-gray","dark gray",NA,"black",NA,NA,"brownish gray",NA,NA,NA,NA,"olive-gray",NA,"dark brown",NA,"dark gray","medium cream, dark brown","medium yellow-buff",NA,NA,"gray",NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,"gray","dark yellow-buff"
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes","M","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium cream, medium green, medium yellow-buff, olive-gray, pale green, very dark rufous","dark gray, black",NA,"dark gray, brownish gray, black",NA,NA,"brownish gray, very dark rufous",NA,NA,NA,NA,"gray, olive-gray",NA,"dark brown",NA,"dark gray","dark brown, medium yellow-buff, pale green, medium green, medium cream","medium yellow-buff, dark brown, medium cream","brownish gray, dark gray",NA,"gray",NA,NA,NA,NA,NA,"dark gray, brownish gray",NA,NA,NA,"olive-gray, gray","dark rufous, brownish gray"
"Chestnut-eared Aracari","Pteroglossus_castanotis","Toucans and barbets","Ramphastidae","Piciformes",NA,"black, brownish gray, dark brown, dark gray, gray, medium green, medium yellow-buff, medium-dark brown, olive-gray","dark gray, black",NA,"dark gray, brownish gray",NA,NA,"dark gray",NA,NA,NA,NA,"gray, olive-gray",NA,"dark brown",NA,"dark gray","medium yellow-buff, dark brown, medium green","medium yellow-buff, medium-dark brown, dark brown","brownish gray",NA,"olive-gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"gray","brownish gray"
"Chestnut-flanked White-eye","Zosterops_erythropleurus","White-eyes","Zosteropidae","Passeriformes","M","brownish gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"gray, medium-dark yellow-buff",NA,NA,NA,NA,"medium yellow-buff, medium cream",NA,"gray","medium-dark yellow-buff, medium-dark rufous, dark rufous","medium-dark yellow-buff, medium cream, medium yellow-buff",NA,"brownish gray, gray",NA,NA,NA,NA,NA,"gray, brownish gray","gray",NA,NA,NA
"Chestnut-fronted Macaw","Ara_severus","Parrots","Psittacidae","Psittaciformes","F","blue, medium green, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark rufous, medium-dark yellow-buff","medium green",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium green, medium yellow-buff","medium-dark brown",NA,NA,NA,"medium green, medium yellow-buff","medium yellow-buff, medium green",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark green, blue",NA,NA,NA,"medium-dark yellow-buff, medium-dark rufous",NA
"Chestnut-fronted Macaw","Ara_severus","Parrots","Psittacidae","Psittaciformes","M","blue, dark brown, dark yellow-buff, light blue, medium green, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark olive, medium-dark yellow-buff, pale green","medium green",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium green","medium-dark brown",NA,NA,NA,"medium-dark green, medium green, medium yellow-buff","medium green, medium yellow-buff, pale green",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark olive, blue, medium-dark green, light blue",NA,NA,NA,"dark yellow-buff, medium-dark yellow-buff, dark brown, medium-dark brown",NA
"Chestnut-headed Oropendola","Psarocolius_wagleri","New World blackbirds","Icteridae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff","gray, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, brownish gray, gray",NA,NA,NA,"brownish gray, gray, dark gray",NA,"brownish gray, dark gray, gray",NA,NA,"dark gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium yellow-buff",NA
"Chestnut-headed Tanager","Pyrrhocoma_ruficeps","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark yellow-buff","dark yellow-buff, brownish gray, dark rufous",NA,NA,NA,NA,"dark yellow-buff, brownish gray, medium-dark yellow-buff, gray, dark gray",NA,NA,NA,NA,"gray, dark gray",NA,"gray, dark yellow-buff, dark gray",NA,"medium-dark yellow-buff, gray, dark rufous","gray, medium-dark yellow-buff, dark gray","gray, medium-dark yellow-buff",NA,"gray, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, gray","brownish gray, gray, dark gray",NA,NA,NA,NA
"Chestnut-quilled Rock-pigeon","Petrophassa_rufipennis","Doves and pigeons","Columbidae","Columbiformes","F","gray, olive-gray","gray",NA,"olive-gray, gray",NA,NA,NA,NA,NA,NA,NA,"gray",NA,"gray",NA,"gray","olive-gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-rumped Thornbill","Acanthiza_uropygialis","Thornbills and gerygones","Acanthizidae","Passeriformes","F","black, brownish gray, dark gray, gray","brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray",NA,"gray",NA,NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, black",NA
"Chestnut-rumped Woodcreeper","Xiphorhynchus_pardalotus","Woodcreepers","Dendrocolaptidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","brownish gray",NA,"medium-dark yellow-buff, dark rufous","dark yellow-buff, brownish gray, gray","brownish gray","brownish gray, gray","medium-dark yellow-buff, brownish gray",NA,NA,NA,"dark yellow-buff, brownish gray","medium-dark rufous, dark rufous","dark rufous",NA,"medium-dark yellow-buff, medium yellow-buff","medium-dark yellow-buff, brownish gray","medium-dark yellow-buff","brownish gray, medium-dark yellow-buff","medium-dark yellow-buff, medium-dark rufous","medium-dark rufous, brownish gray",NA,"brownish gray",NA,"dark yellow-buff",NA,NA,NA,NA,NA,"dark rufous, brownish gray",NA
"Chestnut-rumped Woodcreeper","Xiphorhynchus_pardalotus","Woodcreepers","Dendrocolaptidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","dark gray, dark yellow-buff, brownish gray",NA,"brownish gray","dark yellow-buff, dark gray, brownish gray, gray","brownish gray, gray","brownish gray, medium-dark yellow-buff","brownish gray, medium-dark yellow-buff",NA,NA,NA,"dark yellow-buff, brownish gray","brownish gray","dark rufous",NA,"medium-dark yellow-buff","medium-dark yellow-buff, dark yellow-buff, medium yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff, brownish gray","brownish gray, medium-dark yellow-buff","brownish gray, dark yellow-buff",NA,"brownish gray",NA,"medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,"dark rufous, dark brown",NA
"Chestnut-sided Warbler","Dendroica_pensylvanica","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream, pale gray","dark yellow-buff, medium-dark yellow-buff, medium yellow-buff, gray",NA,"medium-dark yellow-buff, pale gray, dark yellow-buff, gray","gray, dark gray","gray, brownish gray","gray","gray, brownish gray",NA,NA,NA,"dark gray, gray, medium-dark yellow-buff, dark yellow-buff","gray","medium-dark yellow-buff",NA,"gray","gray, dark rufous, pale gray","gray, pale gray","gray, medium-dark rufous","gray","dark gray, gray, black",NA,NA,NA,NA,NA,"gray, dark gray, pale cream, brownish gray, medium yellow-buff",NA,NA,NA,"gray, dark gray",NA
"Chestnut-sided Warbler","Dendroica_pensylvanica","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, very dark rufous","gray, medium yellow-buff, medium-dark yellow-buff",NA,"gray, dark gray","medium-dark yellow-buff, gray","gray, brownish gray","gray","dark gray",NA,NA,NA,"dark yellow-buff, dark gray","gray, dark gray","gray",NA,"gray","gray, very dark rufous, dark rufous","gray","dark rufous","gray","dark gray, brownish gray",NA,NA,NA,NA,NA,"brownish gray, pale cream, medium yellow-buff",NA,NA,NA,"gray",NA
"Chestnut-throated Seedeater","Sporophila_telasco","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,"gray, brownish gray",NA,"dark rufous, gray","brownish gray, medium-dark rufous, gray, dark rufous","medium-dark yellow-buff, gray, brownish gray",NA,"gray, medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,"brownish gray, gray","gray, dark gray, brownish gray",NA,NA,NA,NA
"Chestnut-tipped Toucanet","Aulacorhynchus_derbianus","Toucans and barbets","Ramphastidae","Piciformes","F","blue, brownish gray, dark gray, dark olive, dark rufous, gray, medium green, medium yellow-buff, medium-dark green, medium-dark olive","medium-dark green, medium-dark olive",NA,"medium-dark olive, blue, medium-dark green",NA,NA,"medium-dark green, medium green",NA,NA,NA,NA,"medium-dark green, medium-dark olive",NA,"medium-dark olive, medium-dark green",NA,"gray, medium yellow-buff","medium green","medium green",NA,NA,"medium-dark green",NA,NA,NA,NA,NA,"dark gray, gray",NA,NA,NA,"brownish gray, dark olive, medium-dark olive, dark rufous",NA
"Chestnut-tipped Toucanet","Aulacorhynchus_derbianus","Toucans and barbets","Ramphastidae","Piciformes","M","brownish gray, dark gray, gray, medium green, medium-dark green, medium-dark olive, medium-dark rufous, olive-gray","medium-dark olive, medium-dark green",NA,"medium-dark green, medium-dark olive",NA,NA,"medium green, medium-dark green",NA,NA,NA,NA,"medium-dark olive",NA,"medium-dark green, medium-dark olive",NA,"gray","medium-dark green, medium green","medium green",NA,NA,"medium-dark olive, medium-dark green",NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,"medium-dark olive, brownish gray, olive-gray, medium-dark rufous",NA
"Chestnut-vented Conebill","Conirostrum_speciosum","Tanagers","Thraupidae","Passeriformes","F","black, brownish gray, dark gray, dark olive, gray, medium cream, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale cream, very dark olive","black",NA,"gray, medium-dark olive","black, olive-gray, gray","black, olive-gray","gray","olive-gray, medium-dark yellow-buff",NA,NA,NA,"medium-dark green","very dark olive, black","medium-dark green",NA,"olive-gray, pale cream","medium yellow-buff, medium cream","pale cream","medium yellow-buff","gray, black","medium-dark yellow-buff, dark olive",NA,"black, dark gray",NA,"medium-dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray, black",NA
"Chestnut-vented Conebill","Conirostrum_speciosum","Tanagers","Thraupidae","Passeriformes","M","black, blue, brownish gray, dark blue, dark gray, gray, light blue, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, olive-gray","gray, olive-gray, black",NA,"black, olive-gray","dark gray, black","black","dark blue, gray","light blue, dark gray",NA,NA,NA,"medium-dark olive, medium-dark yellow-buff, gray, olive-gray, blue","black","olive-gray, medium-dark olive, medium-dark yellow-buff, gray, blue",NA,"gray","gray, olive-gray","gray, olive-gray","gray, olive-gray","gray, medium-dark yellow-buff, medium-dark rufous","black, blue",NA,"dark gray, black",NA,"olive-gray",NA,"brownish gray, medium-dark rufous","gray, brownish gray, medium-dark olive",NA,NA,"black, dark gray",NA
"Chestnut-winged Hookbill","Ancistrops_strigilatus","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff","brownish gray, dark gray",NA,"brownish gray, dark gray",NA,NA,"brownish gray, dark gray",NA,NA,NA,NA,"brownish gray",NA,"brownish gray",NA,"medium yellow-buff","medium yellow-buff, gray","medium yellow-buff","brownish gray",NA,"dark rufous, brownish gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"dark rufous",NA
